emisor,termino_consulta,idioma,fuente,titulo,autor,descripcion,url,url_imagen,contenido,fecha_publicacion,fecha_consulta_desde,fecha_consulta_hasta
BBVA,BBVA,es,Elperiodico.com,Banco Sabadell reparte 370 millones de euros entre sus accionistas el próximo viernes,Agencias,"Banco Sabadell repartirá un dividendo de 0,07 euros por acción a cuenta de los resultados de 2025 este próximo viernes, 29 de agosto. En total, tiene previsto repartir unos 370,1 millones de euros entre sus accionistas, lo que supone un 37% de los beneficios …",https://www.elperiodico.com/es/economia/20250824/banco-sabadell-reparte-370-millones-dividendos-accionistas-opa-bbva-120892845,https://estaticos-cdn.prensaiberica.es/clip/61a31a74-b0e6-4209-9828-e88f0ab4b9ca_16-9-discover-aspect-ratio_default_0.jpg,"Banco Sabadell repartirá un dividendo de 0,07 euros por acción a cuenta de los resultados de 2025 este próximo viernes, 29 de agosto. En total, tiene previsto repartir unos 370,1 millones de euros en… [+2826 chars]",2025-08-24T09:57:44,2025-07-27,2025-08-25
BBVA,BBVA,es,Expansion.com,Sabadell reparte 370 millones de euros entre sus accionistas el próximo viernes,Expansión,"En total, tiene previsto repartir unos 370,1 millones de euros entre sus accionistas, lo que supone un 37% de los beneficios cosechados hasta el primer semestre, de 975 millones de...",https://www.expansion.com/empresas/banca/2025/08/24/68aad735e5fdea65078b457e.html,https://phantom-expansion.uecdn.es/0deb5490f8136dc4d843fecbed2a6aff/crop/42x60/1946x1330/resize/1200/f/webp/assets/multimedia/imagenes/2025/08/24/17560269071495.jpg,"Banco Sabadell repartirá un dividendo de 0,07 euros por acción a cuenta de los resultados de 2025 este próximo viernes, 29 de agosto.En total, tiene previsto repartir unos 370,1 millones de euros ent… [+2711 chars]",2025-08-24T09:17:41,2025-07-27,2025-08-25
ISA,ISA,es,Excelsior.com.mx,Infancias quedan a la deriva tras un feminicidio,liliana.moscoso,"Ilian Cedeño
¿Cómo entender que mamá ya no está? ¿Cómo reponerse a su muerte, siendo niño, y comprender que alguien le arrebató la vida?

En México, cada día diez mujeres son víctimas de feminicidio, una problemática que ahonda una herida colectiva y que se…",https://www.excelsior.com.mx/nacional/infancias-quedan-a-la-deriva-tras-un-feminicidio/1735001,https://www.excelsior.com.mx/1200x630/filters:format(webp):quality(75)/media/pictures/2025/08/24/3366292.jpg,"¿Cómo entender que mamá ya no está? ¿Cómo reponerse a su muerte, siendo niño, y comprender que alguien le arrebató la vida?
En México, cada día diez mujeres son víctimas de feminicidio, una problemá… [+10550 chars]",2025-08-24T09:05:16,2025-07-27,2025-08-25
MINEROS,MINEROS,es,Jornada.com.mx,Exhibe el Museo de Arte Moderno un retrato artístico de los hermanos Revueltas,"DEMOS, Desarrollo de Medios, S.A. de C.V.","La historia y el legado de una de las estirpes artísticas más emblemáticas, creativas y transgresoras del siglo XX mexicano llega al Museo de Arte Moderno con la exposición Estética Revueltas: Una familia de vanguardia, que se presentará hasta febrero de 2026.",https://www.jornada.com.mx/2025/08/24/cultura/a02n1cul,https://www.jornada.com.mx/2025/08/24/fotos/a02n1cul-1.jpg,"Periódico La JornadaDomingo 24 de agosto de 2025, p. 2
La historia y el legado de una de las estirpes artísticas más emblemáticas, creativas y transgresoras del siglo XX mexicano llega al Museo de A… [+4667 chars]",2025-08-24T08:28:01,2025-07-27,2025-08-25
BBVA,BBVA,es,Jornada.com.mx,Monterrey es el nuevo líder; se impone por 3-0 al Necaxa,"DEMOS, Desarrollo de Medios, S.A. de C.V.","Con un gol olímpico de Sergio Canales y un penal de Sergio Ramos, Monterrey superó 3-0 al Necaxa y se apoderó del liderato general del torneo Apertura 2025 de la Liga Mx, ayer en duelo correspondiente a la jornada seis, efectuado en el estadio BBVA.",https://www.jornada.com.mx/2025/08/24/deportes/a11n1dep,https://www.jornada.com.mx/2025/08/24/fotos/a11n1dep-1.jpg,"Periódico La JornadaDomingo 24 de agosto de 2025, p. a11
Con un gol olímpico de Sergio Canales y un penal de Sergio Ramos, Monterrey superó 3-0 al Necaxa y se apoderó del liderato general del torneo… [+2970 chars]",2025-08-24T08:28:01,2025-07-27,2025-08-25
Banco Santander,Banco Santander,es,Milenio,¿Necesitas lana y no tienes historial? La IA ya evalúa si mereces un préstamo,José Ramón Huerta,"DOMINGA.– Hasta hace poco, el acceso al crédito estaba limitado a quienes tenían una chamba con ingresos fijos y un historial “limpio” en algúnburó de crédito,es decir, que no arrastraran alguna deuda o atraso. Esas exigencias dejaban fuera a millones de pers…",https://www.milenio.com/negocios/necesitas-lana-y-no-tienes-historial-la-ia-ya-evalua-dar-prestamos,https://cdn.milenio.com/uploads/media/2025/08/23/cuales-son-los-requisitos-que.jpg,"DOMINGA. Hasta hace poco, el acceso al crédito estaba limitado a quienes tenían una chamba con ingresos fijos y un historial limpio en algún buró de crédito, es decir, que no arrastraran alguna deuda… [+9543 chars]",2025-08-24T06:51:59,2025-07-27,2025-08-25
MINEROS,MINEROS,es,Latercera.com,“Por razones de fuerza mayor”: Suspenden show de Natalia Valdebenito en Rancagua a semanas de polémico chiste sobre tragedia en El Teniente,Roberto Martínez,"A inicios de mes se difundió un extracto de la rutina de la humorista, en el que señalaba: “Puedo decir que fui la única persona contenta de que pasara lo de los mineros”.",https://www.latercera.com/culto/noticia/por-razones-de-fuerza-mayor-suspenden-show-de-natalia-valdebenito-en-rancagua-a-semanas-de-polemico-chiste-sobre-tragedia-en-el-teniente/,https://www.latercera.com/resizer/v2/2PM5XV2NUNBIRFN655Q6M6TDQY.jpg?auth=5b09970573590bfda0e2a7918257c386f836bfff94780bde254c79ed04300e4a&height=630&width=1200&smart=true,"El Teatro Regional Lucho Gatica de Rancagua informó este sábado la suspensión del show Esto es un Secreto, de Natalia Valdebenito, que estaba agendado para el miércoles 4 de septiembre a las 20.00 ho… [+1968 chars]",2025-08-24T05:44:58,2025-07-27,2025-08-25
BBVA,BBVA,es,Record.com.mx,Luka Romero anotó su primer gol del torneo con Cruz Azul,@record_mexico,"El mediocampista mexicoargentino marcó el único gol del encuentro, con el que Cruz Azul venció a Toluca en el EOU",https://www.record.com.mx/futbol/liga-mx/cruz-azul/luka-romero-anoto-su-primer-gol-del-torneo-con-cruz-azul,https://www.record.com.mx/sites/default/files/articulos/2025/08/24/luka-romero-anoto-su-primer-gol-del-torneo-con-cruz-azul.jpg,"Este sábado, en el cierre de la jornada sabatina de la Liga MX, la Máquina Celeste de la Cruz Azul venció a los Diablos Rojos del Toluca con gol en solitario del mediocampista mexicoargentino Luka Ro… [+1023 chars]",2025-08-24T05:36:26,2025-07-27,2025-08-25
Banco Santander,Banco Santander,es,Milenio,Turismo sostenible en la Riviera Maya: el legado de Dolores López Lira y Grupo Lomas,Ángeles García,"María Dolores López Lira e Hinojo, empresaria con más de cinco décadas de trayectoria en la industria turística, vuelve a marcar un hito en su carrera, pues hace unos días Banco Santander México y Grupo Lomas anunciaron la formalización del mayor crédito bila…",https://www.milenio.com/negocios/dolores-lopez-lira-legado-turismo-riviera-maya,https://cdn.milenio.com/uploads/media/2025/08/22/dolores-lopez-lira-promoviendo-turismo.jpeg,"María Dolores López Lira e Hinojo, empresaria con más de cinco décadas de trayectoria en la industria turística, vuelve a marcar un hito en su carrera, pues hace unos días Banco Santander México y Gr… [+3918 chars]",2025-08-24T05:11:01,2025-07-27,2025-08-25
Banco Popular,Banco Popular,es,Www.abc.es,Sevilla tendrá mil plazas más de 'gran lujo' a partir de 2026,(abc),Sevilla contará con mil plazas más de hoteles de gran lujo a partir de 2026. Los establecimientos que abrirán sus puertas o comenzarán a construirse en los próximos meses harán que la oferta de la mayor categoría que existe se vea duplicada. Esto se debe a qu…,https://www.abc.es/sevilla/ciudad/sevilla-mil-plazas-gran-lujo-partir-2026-20250824151554-nts.html,https://s3.abcstatics.com/abc/www/multimedia/sevilla/2025/08/24/alfonos-xiii-U68210632611yBT-1024x512@diario_abc.jpg,Sevilla contará con mil plazas más de hoteles de gran lujo a partir de 2026. Los establecimientos que abrirán sus puertas o comenzarán a construirse en los próximos meses harán que la oferta de la ma… [+4215 chars],2025-08-24T05:01:56,2025-07-27,2025-08-25
ISA,ISA,es,Www.abc.es,La Celestina se vive entre bambalinas,(abc),"La mañana comienza con los nervios de la primera vez, y eso que muchos de ellos repiten la experiencia de adentrarse a través del teatro en el siglo XVI español de la mano de Fernando de Rojas, el escritor, o más bien, dramaturgo, nacido en La Puebla de Monta…",https://www.abc.es/espana/castilla-la-mancha/toledo/pueblos/celestina-vive-bambalinas-20250824070000-nt.html,https://s1.abcstatics.com/abc/www/multimedia/espana/2025/08/24/WhatsAppImage2025-08-23at16.32.44-U02605807808pQD-1024x512@diario_abc.jpg,"La mañana comienza con los nervios de la primera vez, y eso que muchos de ellos repiten la experiencia de adentrarse a través del teatro en el siglo XVI español de la mano de Fernando de Rojas, el es… [+4108 chars]",2025-08-24T05:00:01,2025-07-27,2025-08-25
BBVA,BBVA,es,Record.com.mx,Liga MX: Nahuel Guzmán se equivoca en el segundo gol de Mazatlán,@record_mexico,"El arquero argentino tuvo una gran colaboración en el segundo gol de Mazatlán, Tigres alcanzó a rescatar el empate",https://www.record.com.mx/futbol/liga-mx/tigres/nahuel-guzman-se-equivoca-en-el-segundo-gol-de-mazatlan,https://www.record.com.mx/sites/default/files/articulos/2025/08/23/nahuel-guzman-se-equivoca-en-el-segundo-gol-de-mazatlan.jpg,"Este sábado, en la búsqueda de mantener el paso firme en el liderato del TorneoApertura 2025, Nahuel Guzmán fue clave para Mazatlán en el empate entre los Felinos y los Cañoneros.
En los primeros se… [+1016 chars]",2025-08-24T03:18:33,2025-07-27,2025-08-25
BBVA,BBVA,es,Record.com.mx,¡Volvió el capi! Sergio Ramos anotó su primer gol del torneo,@record_mexico,"El histórico jugador español, retomó el camino del gol en el duelo contra Necaxa",https://www.record.com.mx/futbol/liga-mx/monterrey/volvio-el-capi-sergio-ramos-anoto-su-primer-gol-del-torneo,https://www.record.com.mx/sites/default/files/articulos/2025/08/23/volvio-el-capi-sergio-ramos-anoto-su-primer-gol-del-torneo.webp,"La Jornada 6 de laLiga MXsigue contando grandes historias dentro del terreno de juego, esta vez, fue el Estadio BBVA el que vivió un momento de júbilo, esto cuandoSergio Ramosse hizo presente en el m… [+1082 chars]",2025-08-24T03:14:41,2025-07-27,2025-08-25
Banco Popular,Banco Popular,es,La Nacion,Toma de rehenes para quebrar el déficit cero,,El actual Congreso no desea acompañar reformas que modifiquen el statu quo impidiendo generar confianza para que ingresen capitales y se mejore la actividad económica,https://www.lanacion.com.ar/editoriales/toma-de-rehenes-para-quebrar-el-deficit-cero-nid24082025/,https://resizer.glanacion.com/resizer/v2/DEHJABANOJCMPGWABEOCUY6TR4.jpg?auth=8038010d3e3c5628f91de64f8e360e37fe9688bf90a866d6b72edc0757189a0a&width=1200&quality=70&smart=false&height=800,"Según la Real Academia Española, rehén es una persona retenida por alguien para obligar a un tercero a cumplir ciertas condiciones. No menciona, en cambio, la versión más perversa de la política: el … [+8901 chars]",2025-08-24T03:10:00,2025-07-27,2025-08-25
MINEROS,MINEROS,es,Lavozdegalicia.es,La industria minera gallega mira a Europa,Sara López Campoamor,"Galicia construye una narrativa sobre el sector en la que prevalecen la sostenibilidad, el conocimiento y la innovación como garantía de competitividad",https://www.lavozdegalicia.es/noticia/mercados/2025/08/22/industria-minera-gallega-mira-europa/00031755876233768567366.htm,https://img.lavdg.com/sc/or8owYZlHPR5TTUfy3nuT8z0_8Y=/1280x/2025/08/22/00121755873302198839990/Foto/topos.jpg,"La industria minera gallega se encuentra en un momento decisivo. Frente a los desafíos de la transición ecológica, la autonomía estratégica europea y la transformación digital, el sector avanza con p… [+2868 chars]",2025-08-24T03:00:00,2025-07-27,2025-08-25
Banco Popular,Banco Popular,es,Elconfidencial.com,Irse de picos pardos o el quinto pino: dichos que nacieron en Madrid y se expandieron gracias a la literatura,Guillermo Martínez,Numerosas expresiones populares que se usan en el día a día nacieron de acontecimientos de lo más variopintos que sucedieron en la capital,https://www.elconfidencial.com/espana/madrid/2025-08-24/expresiones-populares-madrid-origen-historia-1hms_4194153/,"https://images.ecestaticos.com/jhDYLC-wpXi703fZmnMkPNozA0M=/0x0:2272x1512/600x315/filters:fill(white):format(jpg):quality(99):watermark(f.elconfidencial.com/file/bae/eea/fde/baeeeafde1b3229287b0c008f7602058.png,0,275,1)/f.elconfidencial.com/original/a8b/a30/869/a8ba30869b4182ca99879ac8abee9928.jpg","Un toro suelto de la plaza de toros de la calle Alcalá provocó el nacimiento de la expresión ""eres un tonto del bote"". ""Ser más chulo que un ocho"" procede de un tranvía repleto de chulapos. ""Irse al … [+8892 chars]",2025-08-24T03:00:00,2025-07-27,2025-08-25
BBVA,BBVA,es,Milenio,Rayados de Monterrey vence al Necaxa y se pone como líder del torneo,Aarón Hernández,"El Gigante de Acero fue testigo de una noche redonda por parte del Club de Futbol Monterrey, que ganó, gustó y goleó ante un Necaxa que no pudo poner resistencia. Con un Lucas Ocampos encendido, una obra de arte de Sergio Canales y Sergio Ramos colocando el ú…",https://www.milenio.com/futbol/liga-mx/resultado-monterrey-vs-necaxa-resumen-partido-jornada-6-liga-mx-2025,https://cdn.milenio.com/uploads/media/2025/08/23/rayados-monterrey-vence-necaxa-pone.jpg,"El Gigante de Acero fue testigo de una noche redonda por parte del Club de Futbol Monterrey, que ganó, gustó y goleó ante un Necaxa que no pudo poner resistencia.
Con un Lucas Ocampos encendido, una… [+1757 chars]",2025-08-24T02:39:00,2025-07-27,2025-08-25
BBVA,BBVA,es,Excelsior.com.mx,Cruz Azul Vs Toluca no empezará a las 21:00 horas,bernardo.ferreira,"Bernardo Ferreira
La Liga MX dio a conocer que el partido entre Cruz Azul y Toluca, correspondiente a la Jornada 6 del Apertura 2025, no arrancará a las 21:00 horas como estaba pactado debido a la tormenta eléctrica que azotó el sur de la Ciudad de México.
…",https://www.excelsior.com.mx/adrenalina/cruz-azul-vs-toluca-no-empezara-a-las-2100-horas/1734972,https://www.excelsior.com.mx/1200x630/filters:format(webp):quality(75)/media/pictures/2025/08/23/3366253.jpg,"La Liga MX dio a conocer que el partido entre Cruz Azul y Toluca, correspondiente a la Jornada 6 del Apertura 2025, no arrancará a las 21:00 horas como estaba pactado debido a la tormenta eléctrica q… [+1228 chars]",2025-08-24T02:38:42,2025-07-27,2025-08-25
Banco Popular,Banco Popular,es,Www.abc.es,"Ascenso y caída de Evo Morales, el gran chamán de la izquierda",(abc),"Salió de la provincia del Chapare, la región cocalera del trópico cochabambino, para convertirse en el presidente de Bolivia , y allí mismo regresó dos décadas después despojado de cualquier honor, envilecido por el poder y transformado en forajido. La vida d…",https://www.abc.es/internacional/ascenso-caida-evo-morales-gran-chaman-izquierda-20250824170254-nt.html,https://s1.abcstatics.com/abc/www/multimedia/internacional/2025/08/24/evomorales.jpg,"Salió de la provincia del Chapare, la región cocalera del trópico cochabambino, para convertirse en el presidente de Bolivia, y allí mismo regresó dos décadas después despojado de cualquier honor, en… [+8683 chars]",2025-08-24T02:13:06,2025-07-27,2025-08-25
BBVA,BBVA,es,Www.abc.es,BBVA se enfrenta al dilema de mejorar la opa tras más de 15 meses de operación agónica,(abc),"BBVA afina los números para presentar el que debería ser el folleto final de la opa sobre Banco Sabadell , un documento donde deben poner negro sobre blanco sus cálculos de ahorros sobre la operación y los diferentes escenarios para que los accionistas de la …",https://www.abc.es/economia/bbva-enfrenta-dilema-mejorar-opa-tras-meses-20250825182303-nt.html,https://s2.abcstatics.com/abc/www/multimedia/economia/2025/08/25/torres-onur-U28334155371wqK-1024x512@diario_abc.jpg,"BBVA afina los números para presentar el que debería ser el folleto final de la opa sobre Banco Sabadell, un documento donde deben poner negro sobre blanco sus cálculos de ahorros sobre la operación … [+4940 chars]",2025-08-24T02:10:02,2025-07-27,2025-08-25
BBVA,BBVA,es,Milenio,Partido de Cruz Azul contra Toluca se retrasa por tormenta eléctrica en CU,"Violeta Alva,La Afición","El partido entre Cruz Azul y Toluca, de la jornada 6 del Apertura 2025 de la Liga MX, que se celebra en el Estadio Olímpico Universitario, fue retrasado debido a una tormenta eléctrica alrededor de la sede del juego.Por medio de redes sociales, la Liga MX anu…",https://www.milenio.com/futbol/liga-mx/tormenta-electrica-retrasa-inicio-del-juego-entre-cruz-azul-y-toluca,https://cdn.milenio.com/uploads/media/2025/08/23/partido-cruz-azul-toluca-retrasado.jpg,"El partido entre Cruz Azul y Toluca, de la jornada 6 del Apertura 2025 de la Liga MX, que se celebra en el Estadio Olímpico Universitario, fue retrasado debido a una tormenta eléctrica alrededor de l… [+2842 chars]",2025-08-24T01:48:00,2025-07-27,2025-08-25
BBVA,BBVA,es,Milenio,Sergio Canales se luce anotando gol olímpico en el Monterrey vs Necaxa | VIDEO,La Afición,"Sergio Canales, jugador de Monterrey, anotó este sábado un golazo olímpico en el partido ante Necaxa en la jornada 6 del Apertura 2025 de la Liga MX, haciendo estallar en el Estadio BBVA con el segundo gol de su equipo.El mediocampista de España puso el 2-0 p…",https://www.milenio.com/futbol/liga-mx/sergio-canales-anota-gol-olimpico-juego-rayados-ante-necaxa,https://cdn.milenio.com/uploads/media/2025/08/23/sergio-canales-anota-gol-olimpico.jpg,"Sergio Canales, jugador de Monterrey, anotó este sábado un golazo olímpico en el partido ante Necaxa en la jornada 6 del Apertura 2025 de la Liga MX, haciendo estallar en el Estadio BBVA con el segun… [+897 chars]",2025-08-24T01:02:00,2025-07-27,2025-08-25
BBVA,BBVA,es,Record.com.mx,‘Será difícil pero hay que seguir el camino’ Lucas Ocampos previo al Rayados vs Necaxa,@record_mexico,"El atacante de Monterrey, declaró que todos los juegos son complicados pero planeta continuar en el camino de la victoria",https://www.record.com.mx/futbol/liga-mx/monterrey/sera-dificil-pero-hay-que-seguir-el-camino-lucas-ocampos-previo-al-rayados,https://www.record.com.mx/sites/default/files/articulos/2025/08/23/sera-dificil-pero-hay-que-seguir-el-camino-lucas-ocampos-previo-al-rayados-vs-necaxa.webp,"Se reanudaron las acciones del Apertura 2025 de laLiga MX, ahora es turno de losRayados de Monterrey y los Rayos del Necaxa de verse las caras en el Gigante de acero por el duelo correspondiente a la… [+1309 chars]",2025-08-24T00:43:32,2025-07-27,2025-08-25
Banco Santander,Banco Santander,es,Www.df.cl,"Álvaro Jalaff post Capitán Yáber: el distanciamiento con su hermano Antonio, estufa para el penal y las recientes declaraciones a la Fiscalía",Azucena González,"Con su defensa, desarrolló una artillería legal con informes del tributarista Octavio Del Río y declaraciones del exdirector del SII Ricardo Escobar para desacreditar delitos que se le imputan. Y, por ahora, logró que el tribunal desestimara que haya cometido…",https://www.df.cl/df-mas/por-dentro/alvaro-jalaff-post-capitan-yaber-el-distanciamiento-con-su-hermano,https://www.df.cl/noticias/site/artic/20250822/imag/foto_0000001120250822224320/JALAFF_ok.jpg,"Poco más de seis meses privado de libertad estuvo Álvaro Ignacio Jalaff Sanz, recluido en Capitán Yáber desde el 3 de febrero pasado. El exCEO de Grupo Patio e integrante de la familia fundadora de e… [+21499 chars]",2025-08-24T00:00:00,2025-07-27,2025-08-25
